Filename,firm_name,trade,situation,reply
PART II 44.jpeg,"Wilson, Hall, & Company",Worsted Spinners and Manufacturers,"Hall Lane Mills, Bowling, Bradford.","Our works are situated on the Bowling Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 220 hands. Rateable value of works, 750l. The bed of the stream has not silted up. Our value of works are not affected by floods. Obtain supply of water jointly from wells and from waterworks, and some yearly 960,000 gallons. Use for washing 960,000 gallons, and for condensing purposes 2,300,000 gallons. We manufacture yearly 360,000 lbs. of goods, of the value of 50,000l. Produce yearly liquid refuse, as soapsuds, 400,000 gallons; this flows into depositing tanks, and thence into the sewers. The other liquid refuse flows direct into the sewers, and thence into the stream. Use yearly 1,000 gallons of Gallipoli oil, of the value of 250l. Produce 5,000 lbs. of waste wool in carding; sold to farmers as manure. Use yearly, soap 27,390 lbs., and alkali 91,690 lbs. The aspsuds are treated for the recovery of grease, by which we gain 30l. a year. Use steam, 60 nominal horse-power. Consume yearly 2,000 tons of coal; make 400 tons of ashes, which are used to repair streets. The excrements of my workpeople are removed by a contractor under the Bradford Corporation. I have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
PART II 44.jpeg,M. Sharp & Company,Stuff Manufacturers,"Bowling, near Bradford.","Our works are situated on Bowling Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 200 hands. Rateable value of works, 303l. The river is polluted by works above, not by mines. Obtain supply of water from the stream; but as the bulk is only used for condensing purposes. We are not able to give the annual consumption at our works. Manufacture yearly 156,000 lbs. of goods, of the value of 26,000l. The liquid refuse produced at our works flows direct into the stream. Do not use any dyed warees, bleaching materials, oil, soap, or alkali. Use steam, 25 nominal horse-power. Consume yearly 640 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used on adjacent to our premises for manure. We have no suggestions to offer."
PART II 44.jpeg,J. F. Martin & Company,Stuff Manufacturers,"Upper Castle Street, Bow- Bradford, England.","Our works are situated on Bowling Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 70 hands. Rateable value of works, 390l. Our works are not affected by floods. As we rent power and premises from Messrs. Edward Ripley and Sons, we are not able to give the annual consumption of water, the quantity of coal used, the quantity of ashes made, or the purposes to which the ashes are devoted. We manufacture yearly, 50,000 lbs. of goods, of the value of 20,000l. The waste liquid produced at our works flows into the stream. The excrements of our workpeople are collected in tanks, and used for manure. No suggestions to offer."
PART II 44.jpeg,Clapham And Butler,Manufacturers of Stuff Goods,"St. Stephens Street, Manchester, England.","Our works are situated on Bowling Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 60 hands. Rateable value of works, 150l. The bed of the stream has not silted up. Our works are not affected by floods. The condition of the stream has not altered during our occupancy of the works for the past three years. The pre-sent condition of the stream is anything but satisfactory, so much so that at times a horrid stench penetrates to all parts of our premises; this is caused by polluting materials cast into the stream from works above. The stream is not polluted by mines. Obtain supply of water from the Corporation waterworks, but we use yearly only a very small quantity. We manufacture yearly 45,000 lbs. of goods, of the value of 15,000l. Do not produce any liquid refuse at our works. Do not use either dye ware, bleaching materials, oil, soap, alkali, or urine. We rent steam-power from Messrs. J. Cure and Company, wool and combers. The excrements of our workpeople are conveyed into tanks, which are regularly emptied, and the contents used for agricultural purposes. Have no special suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
PART II 44.jpeg,"Mitchell, Brothers",Mohair Spinners and Manufacturers,"Manchester Road, Bradford, England.","Our works are situated on Bowling Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 1,050 hands. Rateable value of works, 2,400l. The bed of the stream has not silted up. Our works are not affected by floods. The channel of the stream is some-times dry, and at other times a fair volume of water flows down. It has been much in the same condition for the last 50 years. The river is so fearfully polluted that the water is unfit for use, except after a very heavy flood; it is not polluted by mines. Obtain supply of water from wells, bore holes, and sometimes from the stream, when clear. Consume yearly from bore holes 15,000,000 gallons, and from Beck 750,000 gallons. As we have a good supply of water from our wells we should not use the Beck water to any extent, even if it were rendered clear and colourless. We manufacture yearly 1,040,000 lbs. of goods of the value of 174,000 gallons. Produce yearly liquid refuse from soapsuds 3,000,000 gallons; this flows into depositing tanks; the other waste liquids produced at our works flow directly into the Beck. We do not use either dye ware's or bleaching materials. Use yearly 20 tons of Gallipoli oil, of the value of 1,000. Produce yearly 52,000 lbs. of waste wool in carding, which is sold to waste dealers. Use yearly 100 tons of soap, but no alkali or urine. The soapsuds are treated for the recovery of grease, by which we gain from 80l to 90l a year. Use steam, 135 nominal horse-power. Consume yearly about 4,500 tons of coal, and make about 800 tons of ashes, which are used for repairing roads. The excrements of our workpeople are used for manure. Have no suggestions to offer."
PART II 45.jpeg,"Craven, Halliday, & Company",Stuff Manufacturers,"Gordon Street, Bradford.","Our works are situated on the Bowling Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 76 hands. Do not know the rateable value of the works. The bed of the stream is silted up occasionally; the sifting is removed when required. Our works are not affected by floods. The condition of the stream has been much the same during the last four years. It is polluted by works above, but we do not think it is by mines. We only hire power from Messrs. Gledhill, Ashworth, and Company, so do not know the quantity of water consumed at these works annually. Manufacture yearly goods of the value of 15,000. to 16,000. The whole of the liquid refuse produced at our works flows direct into the stream. Do not use oil or soap. The steam power, quantity of coal, and what is done with the ashes, will be returned by Messrs. Gledhill, Ashworth, and the excrements of our workpeople are conveyed into the Company. These into the river. Have no suggestions to offer."
PART II 45.jpeg,Suden & Briggs,"Alpaca, Mohair, and Worsted Spinners and Manufacturers","Bowling Mills, Bradford.","Our works are situated on Bowling Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 850 hands. Rateable value of works, 1,290. The bed of the stream is polluted by works above, not by mines. Obtain supply of water from wells and bore holes; and consume yearly 600,000 gallons. We manufacture yearly 700,000 lbs. of goods, of the value of 200,000 gallons. Produce yearly, liquid refuse, as soapsuds, about 1,000,000 gallons; this flows into depositing tanks. The other waste liquids produced at our works flows direct into the sewers. Do not use dye ware's or blanching materials. Use yearly, 2,000 gallons of Gallipoli oil, of the value of 500. Produce yearly, 6,000 lbs. of waste wool in the process of carding; this we sell to waste dealers. Use yearly, soap 50 tons; the soapsuds are treated for the recovery of grease, by which we gain 60, a year. We use steam, 70 nominal horse-power. Consume yearly 30,000 tons of coal; make 360 tons of ashes, which are used partly to fill up hollow places, and to be ground with lime for mortar. The excrements of our workpeople are carted away and used for manure. Have no suggestions to offer."
PART II 45.jpeg,"Wheater, Smith, Tankard & Company",Worsted and China Grass Spinners,"Alma Works, Sticker's Lane, Bowling, Bradford.","Our works are situated on the Bowling Beck, an affluent of the Bradford Beck, a tributary of the Aire. Employ 140 hands. Rateable value of works, 250l. Our works are not affected by floods. Obtain supply of water collected from gathering ground, but are not able to give the annual consumption at our works. Spin yearly 96,000 lbs. of fibre, and weave 156,000 lbs. of yarn. The waste liquid produced at our works flows direct into the stream. Do not use any dye ware's, bleaching materials, soap, alkali, or urine. Use steam. Consume yearly 780 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used for manure. We would suggest, in order to avoid pollution in future, that manufacturers should be compelled to filter their waste liquids before allowing them to flow into the streams."
PART II 45.jpeg,Bottomly And Houldsworth,Wool Weavers,"Portland Street, Bradford.","Our works are situated on Bowling Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 250 hands. We hire power from Mr. J. Rawnsney, and cannot give the rateable value of the mill. The river is very much polluted by liquid refuse from dye works, and the temperature of the water is raised to a very high degree by being frequently used. We manufacture yearly 250,000 lbs. of goods. Do not produce any liquid refuse. Do not use any dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 20 nominal horse power. The excrements of our workpeople are deposited in tanks and removed in carts to Stanningly, to be there used for manure. Have no suggestions to offer."
PART II 46.jpeg,Cristopher Wand And Company,Worsted Spinners,"Britannia Mills, Bradford.","Our works are situated on Bowling Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 700 hands. Rateable value of works, 1,750l. The bed of the stream occasionally silts up, but not any appreciable extent. Our works are affected by floods by reason of contraction of the channel of the stream, where covered over above our works. The condition of the stream becomes gradually worse year by year. It is seriously polluted by town sewage and refuse from dye and other works; it is as noisome as possible, and the temperature of the water is raised, by being so constantly used for manufacture processes to from 80° to 90° Fahrenheit; it is not polluted by mines Obtain supply of water jointly from wells and from water-works, an consume yearly about 9,000,000 gallons. If the stream from which we might derive our supply of water were rendered clear and colour less, it would be a direct money value to us of 230l. a year. We manufacture yearly about 2,500,000 lbs. of wool of the value 200,0001. Produce yearly liquid refuse, as soapsuds, 1,200,000 gallons; this flows into depositing tanks, but the other waste liquor refuse flows direct into the stream. Do not use either dye wares bleaching materials. Use yearly 12 tons of olive oil, of the value 6001. The whole of the waste wool produced in carding is used for manure. Use yearly, soap 111 cwt., alkali 400 cwt., but no lime. Soapsuds are treated for the recovery of grease. Use steam, 250 nominal horse-power. Consume yearly 4,200 tons of coal; the ashes from which are used in making mortar for building purposes; and the remainder tipped into old quarries, or used as ballast by the railway company Two-thirds of the excrements of our workpeople are used for manure and the remainder is cast into the Beck. No suggestions to offer."
PART II 46.jpeg,"Demas Ellis, & Company",Worsted Spinners,"Dudley Hill, Bradford.","Our works are situated on an affluent of the Bradford Beck, tributary of the Aire. Employ 150 hands. Rateable value of works 272l. The bed of the stream has not silted up within our knowledge Our works are not affected by floods. Obtain supply of water land drainage, but do not know the annual consumption at our works Manufacture yearly 20,000 lbs. of goods. The whole of the waste liquor produced at our works flows directly into the Beck. Do not use either dye wares, bleaching materials, oil, soap, alkali, or urine. Produce in waste wool. Use steam, 30 nominal horse-power. Consume yearly 80 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used for manure. No suggestions to offer."
PART II 46.jpeg,J. O. Greenwood & Company,Worsted Manufacturers,"Bank Foot, Near Bradford.","Our works are situated on an affluent of Bradford Beck, a tributary of the Aire. Employ 300 hands. Rateable value of works, 232l.12s, 6d Our works are not affected by floods. Obtain supply of water from surface drainage, but do not know the annual consumption at our works Manufacture yearly goods 55 tons, of the value of 70,000l. The waste liquid produced at our works flows directly into sewers, and thence into the stream. Do not use dye wares, bleaching materials oil, soap, alkali, or urine. Use steam, 16 nominal horse-power. Consume yearly 520 tons of coal, the ashes from which are carted on to wash land, and used for filling upon hollow places, also for repairing roads. The excrements of our workpeople are used for manure. We suggest as the best means of avoiding pollution in future, that manufacturers and others should be compelled to keep all their refuse out of rivers and streams. No special suggestions to offer as to the conservancy of rivers and streams."
PART II 46.jpeg,Wilkinson Lund,Worsted and Stuff Manufacturer,"Prospect Mill, Bowling.","My works are situated on an affluent of the Bradford Beck, a tributary of the Aire. Employ 48 hands. Do not know the rateable value of works. The bed of the stream has not silted up. My works are not affected by floods. I have power from Messrs. Cole, Marents, & Co., and am therefore not able to give the volume of water consumed at my works, the weight of coal used, the ashes made or what is done with them. I manufacture yearly goods of the value of 6,000l. Do not use any dye wares, bleaching materials, soap, or the excrements of my workpeople are removed by a contractor under the Bradford Corporation. No suggestions to offer."
PART II 47.jpeg,George Alderson Smith & Company,Worsted Weavers,"Upper Castle Street, Manchester Road, Bradford.","Our works are situated on Bowling Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 250 hands. Rateable value of works, 491l. The bed of the river has not silted up. Our works are not affected by floods. The Beck is seriously polluted by dye and other works; by sewage; but not by mines. Obtain supply of water from the river, which is pumped to a reservoir and allowed to settle; but it is only used for condensing purposes. Manufacture yearly goods of the value of from 60,000l, to 70,000l. We do not produce any liquid refuse at our works. Do not use either dye wares, bleaching mate-rials, oil, soap, alkali, or urine. Use steam, 25 nominal horse power. Consume yearly about 800 tons of coal, the ashes from which are used for repairing roads. The excrements of our workpeople flow into the sewers, and thence into the river. Have no suggestions to offer."
PART II 47.jpeg,Robert Wilkinson,Worsted Manufacturer,"Spring Mills, Bradford, Ford.","My works are situated near an affluent of Bradford Beck, a tributary of the Aire. Employ 100 hands. Do not snow the rateable value of mill. Obtain supply of water from waterworks, and consume yearly 26,000 gallons. Manufacture yearly 120,000 lbs. of goods, of the value of 14,500. The waste liquid produced at my works flows direct into the sewers, and thence into the stream. Do not use any dye wares, bleaching materials, oil, soap, alkali, or urine. Use steam, 12 nominal horse-power, but as I rent power an not able to state the quantity of coal used or what is done with the ashes. The excrements of my workpeople flow by waterclosets into sewers, and thence into the stream. Have no suggestions to offer."
PART II 47.jpeg,John Rawnsley,Worsted Spinner and Manufacturer,"Marshall Mills, Manchester Road, Bradford.","My works are situated on a Beck, an affluent of Bradford Beck, a tributary of the Aire. Employ 800 hands. Rateable value of works, 990l. The bed of the stream has silted up. My works are not affected by floods. The condition of the stream has not changed within the last 10 years. It is polluted by works above, but not by mines. I obtain a supply of water from the reservoirs of Messrs. Edward Ripley and Sons, but have never measured the volume consumed at my works yearly. If the stream were rendered clear and colourless it would be a direct money value to me of 501. a year. I manufacture yearly 400,000 lbs. of goods, of the value of 60,000l. Produce yearly liquid refuse, as soapsuds, 200,000 gallons; these flow into depositing tanks, but the other liquid refuse produced flows direct into the river. Do not use dye wares or bleaching materials. Use yearly 480 gallons of olive oil, of the value of 1201. Produce yearly 10,000 lbs. of waste wool, in carding, which is sold to clothiers. Use yearly soap, 20,000 lbs. The soapsuds are treated for the recovery of grease, by which we gain 201. a year. Use steam, 55 nominal horse-power. Consume yearly 2,500 tons of coal. Make 250 tons of ashes, which are used to repair roads. The excrements of our workpeople are removed by farmers in the night-time, and used for manure."
PART II 47.jpeg,"Oates, Ingham, & Sons","Dyers of Cotton and Worsted Yarns, Slubbing Pieces, and Finishers of Stuff Goods","Vale DyeWorks, Bradford.","Our works are situated on the Bradford Beck, a tributary of the Aire. Employ 600 hands. Rateable value of works, 2,342l. The bed of the Beck has silted up, caused by solid and other polluting matters thrown into it. Our works are not affected by floods. It is impossible to describe the fearfully polluted state of this Beck. It has always been within our knowledge, and is now, black and filthy, and is polluted to the fullest extent possible. Obtain supply of water from wells and from the Corporation waterworks, and consume, yearly 96,000,000 gallons. We finish about 800 pieces daily from 6d. to 1s. 6d. per piece; also in slubbing (which is 2,500 pieces black, at 1s. 3d. per piece; also in slubbing (which is 2,000 pieces black, sourced by the spinner) 6,000 lbs. from 1s. 3d. to 1s. 2d. per lb., and 2,000 lbs. of cotton black at 2s. 0k. per lb., 2,000 lbs. of cotton in various colours at 1s. 0k. to 2s. 6d. per lb. We print daily 240 lbs. of worsted from 10d. to 1s. 6d. per lb. Produce 52,944,000 gallons of liquid refuse from washing, printing, and dyeing, which flows direct into the Beck. Use yearly as dye wares, rasceted logwood l,560,000 lbs., chipped logwood 1,018,320 lbs., fustic 34,736 lbs., peachwood 8,736 lbs., sumach 419,328 lbs., chloride of lime 26,480 lbs., garlic 87,360 lbs., bichrome 53,760 lbs., spirits of salts 76,232 lbs., sulphuric acid 154,076 lbs., nitric acid 80,572 lbs., ammonia 28,032 lbs., aniline colours 3,000 lbs., extract of indigo 107,520 lbs., cudhear 35,820 lbs., grain tin 6,720 lbs., soda ash 79,440 lbs., cochineal 10,752 lbs., indigo 1,660 lbs., sulphate of iron 179,200 lbs., sulphate of copper 26,850 lbs. The spent dye woods are burned under our boilers. Use yearly as bleaching materials 26,480 lbs. of chloride of lime, and 13,240 lbs. of sulphuric acid. Use yearly 358,800 lbs. of soap, and 79,440 lbs. of soda and bleaching powder. The soapsuds are not treated for the recovery of the grease. Use steam, about 350 nominal horse-power. Consume yearly 24,258 tons of coal, the ashes from which are piled in a heap, and used for building purposes by ourselves, and any one who likes to fetch them. None are put into the stream. The excrement of our workpeople are used as manure. Have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
PART II 48.jpeg,Edward Ripley & Sons,Dyers and Finishers,"Bowling, Bradford","Our works are situated on the Bowling Beck, an affluent of the Bradford Beck; a tributary of the Aire. Employ 700 hands. Rateable value of works, 1,800l. The bed of the stream is entirely dry for months during the summer above the point where we discharge our liquid refuse into it. Our works are not affected by floods. Obtain supply of water from wells sunk to the old coal workings, from boreholes below the coal workings, and a small quantity from springs; and consume yearly, 450,000,000 gallons. We dye, yearly, goods of the value of about 1,500,000. The whole of the water consumed, viz., 450,000,000 gallons, after being used for dyeing and washing purposes, is discharged into the Beck. We have depositing tanks for our own convenience, and the water they contain is used for condensing purposes at the mills situated below our works. We use yearly from 800 to 900 tons of woods and other solid dye-wares, 400 to 500 tons of alum, bichromate of potash, soda, sulphate of copperas, ammonia, glauber salts, and soap. We also use 400 tons of sulphuric, nitric, and muriatic acids. The soapsuds cannot be separated in our operations, and therefore cannot be treated for the recovery of the grease. Use steam, about 1,000 nominal horse-power. Consume yearly about 21,000 tons of coal, the ashes from which are used principally as ballast for railways. The excrement of our workpeople are collected, and used as manure on land. We do not see how pollution can be avoided in our case, except by stopping our works. Have no suggestions to offer as to the conservancy of rivers and streams, as it is a difficult question to be dealt with."
PART II 48.jpeg,Benjamin Ingham,Dyer and Bleacher,"Eastbrook, Bradford","My works are situated on the East Brook, an affluent of Bradford Beck, a tributary of the Aire. Employ 134 hands. Rateable value of works, 240l. The bed of the stream has not silted up within my knowledge. My works are not affected by floods. The condition of the stream is more foul than it was in 1865, when I first occupied these works. The stream is polluted by liquid refuse from manufactories; not to my knowledge by lead in mines. Obtain supply of water jointly from bore-holes, and from waterworks of the Bradford Corporation, and consume yearly 22,030,000 gallons. If the stream, from which I might derive my supply of water, were rendered clear and colourless, I should not be able to use it profitably, as the supply is so uncertain. I bleach and dye yearly 2,500,000 lbs. of goods, of the value of from 190,000l, to 200,000l. About one-third of the water used is foulled; but the remainder is only slightly polluted. I have no depositing tanks; the whole of the waste liquid flows direct into the stream. Use yearly 900,000 lbs. of dye woods, drugs, and amiline colours. All the spent dye stuffs are mixed with the coal and burned. Use yearly as bleaching materials, sulphur 11,200 lbs., chloride of lime 9,000 lbs.; do not use any oil. Use, yearly, soap 500 packs. The soapsuds are treated for the recovery of grease by a neigh-bour, and I receive an equivalent in water. Use steam, 30 nominal horse-power. Consume yearly 3,880 tons of coal, the ashes from which are taken away every day by farmers. The excrements of our workpeople flow by waterclosets into the stream. Have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
PART II 48.jpeg,S. H. Kershaw,Worsted Spinner,"Laister Dyke, Bradford","My works are situated on the East Brook, an affluent of the Brad-ford Beck, a tributary of the Aire. Employ 350 hands. Rateable value of works, 440l. Obtain supply of water jointly from wells and from waterworks company, but do not know the annual consumption at my works. Manufacture yearly 800,000 lbs. of yarn, of the value of 120,000l. The whole of the waste liquid produced except soapsuds flows direct into sewers, and then into the river. Do not use either dye wares or bleaching materials, but use yearly 2,400 gallons of Gallipoli oil, of the value of 600l, and soap 75,000 lbs.; the sands are treated for the recovery of grease, by which I gain 80l, a year. Use steam, 62 nominal horse-power. Consume yearly 2,500 tons of coal; the ashes from which are used to repair roads. The excrement of my workpeople are used for manure. Have no suggestions to offer."
PART II 49.jpeg,Joseph Jowett,Worsted Stuff Weaver,"Laister Dyke Mills, Bradford.","My works are situated on the East Brook, an affluent of Bradford Beck, tributary of the Aire. Employ 70 hands. I hire power from S. H. Kershaw. Manufacture yearly 156,000 lbs. of goods, of the value of 27,000l. The whole of the waste liquid produced by us flows direct into the sewers, and thence into the Beck. As I hire power from S. H. Kershaw, we refer to answers to queries furnished by him as to the horse-power, the weight of coal used, and what is done with the ashes. The excerements of my workpeople are carried away in carts to be used as manure. Have no suggestions to offer."
