firm_name,business_type,address,reply
John & George Metcalfe,Flax Spinners,"Glass House, Pateley Bridge","Our mills are situated on the Nidd. Employ 400 hands. Rateable value of mills, £385. The bed of the stream has not silted up. Our mills are not affected by floods. The river is polluted by works above and by lead mines. Obtain supply of water jointing from the river and waterworks constructed by ourselves, but cannot give the annual consumption at our works, as we have no means of measuring the volume. We spin yearly 300 tons of yarn, of the value of £37,000. The liquid refuse produced at our works flows into the river. Do not use any dye wares, bleaching materials, soap, alkali, or urine. Use steam and water as power; steam 40, and water 80 nominal horse-power. Consume yearly 900 tons of coal, the ashes from which are ground up, and mixed with lime for mortar. A portion of the excrements of our workpeople is conveyed into the river, and the remainder is used for agricultural purposes. No suggestions to offer."
H. Kirkby & Sons,Flax Spinners and Bobbin Manufacturers,Pateley Bridge,"Our works are situated on the Fell Beck, a tributary of the Nidd, and also on the Nidd. Employ 40 hands. Rateable value of works, £2000. The bed of the stream has not silted up. Our works are not affected by floods. The Nidd is polluted by lead mines. Obtain supply of water from the stream, but do not know the annual consumption at our works. Manufacture yearly 50 tons of flax, of the value of £2,000. The whole of the waste liquid produced at works flows direct into the stream. Do not use any dye wares, bleaching materials, oil, soap, alkali, or urine. Use water, 20 nominal horse-power. The excrements of our workpeople are used for manure. No suggestions to offer."
"Bentley, Eskholme, & Shann",Flax and Hemp Spinners,Pateley Bridge,"Our works are situated on the Forster Beck, a tributary of the Nidd. Employ 18 hands. Rateable value of works, £37. The bed of the stream has not silted up. Our works are not affected by floods. The river is polluted by works above and by mines. Obtain supply of water from the stream, but do not know the annual consumption at our works. Manufacture yearly 75 tons of yarn, of the value of £3,300. The whole of the waste liquid produced at works flows direct into the stream. Do not use any dye wares, bleaching materials, oil, soap, alkali, or urine. Use water, 15 nominal horse-power. The excrements of our workpeople are used for manure. Have no suggestions to offer."
Francis Thorpe & Company,"Bleachers, Dyers, Yarn Spinners, and Linen Thread Manufacturers","Ripley, Yorkshire","Our works are situated on the river Nid. Rateable value of works: 362l. Employ 200 hands. Our works are not affected by floods. There has been no appreciable difference in the condition of the stream within forty years. The stream is not polluted by mines, not so much as formerly. Obtain a supply of water from the river, and, except during floods, the entire volume of the stream passes over our water-wheel. The river water is clear, except during floods, when it is discolored by peat from the moors. We manufacture 430,000 lbs.; bleach, 160,000 lbs., and dye, 100,000 lbs. yearly. We are not able to give the volume of liquid refuse produced, which flows unfiltered into the sewers, and thence into the river. Use 42,000 lbs. of dye wares yearly, principally shumace, peachwood, and fustic. The spent dye stuffs are mixed with the excrements of our workpeople and used for manure. Use bleaching materials, yearly, chloride of lime, 49,000 lbs.; salt, 45,000 lbs.; and soap, 6,300 lbs. The soapsuds are not treated for the recovery of grease. Use steam, 130 nominal horse-power. Consume yearly 1,200 tons of coal, the ashes from which are used to repair roads. We remove the excrements of our workpeople twice a week, to be used as manure. We have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
Bell & Grange,Flax Spinners,"Thornthwaite Mill, Ripley","Our mill is situated on the Thornthwaite Beck, a tributary of the Nid. Employ 35 hands. Our works are not affected by floods. There has been no alteration in the condition of the stream within our knowledge. The stream is not polluted by works above, nor by mines. Obtain a supply of water from the stream, but we are not able to state the annual consumption at our works. We manufacture yearly 75 tons of goods, of the value of 4,500. The whole of the liquid refuse produced flows into the stream. We do not use either dye wares or bleaching materials. Use water as power, 25 nominal horse-power. We have no suggestions to offer."
Grange & Bell,Flax Spinners,"Dacre Banks, near Ripley","Our works are situated on the Nid. Employ 30 hands. Rateable value of works, 60l. The bed of the river has not silted up. Our works are not affected by floods. The condition of the river has not changed since our occupation of the works. The river is not polluted by manufacturers above, but it is polluted by the washings from below. Obtain our supply of water from the river, but are not able to give the annual consumption at our works. The whole of the waste liquid produced flows direct into the river. We do not use any dye wares or bleaching materials. Use water as power, 25 nominal horse-power. The excrements of our workpeople are removed and used as manure. We have no suggestions to offer."
S. C. Lister & Company,Silk Spinners and Manufacturers,Addingham,"Our works are situated on the Wharfe. Employ 300 hands. Rateable value of works, 350l. The bed of the river has silted up, but not to any appreciable extent. Our works are not affected by floods. The river is not polluted by works above, but it is occasionally mines. Obtain our supply of water from the river, but are not able to state the annual consumption at our works. If the river were rendered quite clear and colourless, it would not be of much value to us, as it is now comparatively clean. We manufacture 1,500,000 lbs. of goods annually, of the value of 50,000. The whole of the liquid refuse produced at our works flows into the river. We have one depositing tank. Formerly, when we combed the wool, we used to filter the soap suds from the wool washing before allowing it to flow into the river. We do not use any dye wares, bleaching materials, soap, alkali, or urine. Use both steam and water as power; 50 nominal horse-power. Consume yearly 1,200 tons of coal, the ashes from which are used to repair roads. The whole of the excrements of our workpeople are collected in a tank, mixed with dry earth, and used for manure. We suggest, as the best means of avoiding pollution in future, that manufacturers should be compelled to filter the waste liquid produced at their works before allowing it to flow into rivers."
William Fison & Company,Worsted Spinners and Stuff Manufacturers,"Green Holm Mills, Burley, in Wharfedale","Our works are situated on the Wharf. Employ 800 hands. Rateable value of works, 1,100. The bed of the river has not silted up. Our works are not affected by floods. The condition of the stream remains as it was upwards of twenty years ago. There is no appreciable pollution in the river. The water is always clear, except in time of flood. The Addingham mills (Lister & Company), are six miles above us; the river is not polluted by mines. We obtain our supply of water jointly from the river and from the waterworks, but are unable to give an accurate consumption at our works. For many weeks in the year the entire volume of the stream passes over our water-wheel, which we estimate to take 125,000,000 gallons weekly. We manufacture yearly goods of the value of 300,000l., and give goods of the value of 20,000l. The whole of the liquid refuse produced at our works flows direct into the river. We use as dry wares 90,000 lbs. of wood, fustic, and bi-chromate of potash. The spent dye stuffs are consumed in our boilers. We do not use any bleaching materials. Use of Best Gallipol oil about 20 tons yearly, of the value of 1,000l., also 153,000 lbs. of best Gallipol soft soap. The grease is extracted from the soap dust at an annual gain to us of 1,000l. We do not use either alkali or urine. Use steam as power; water 200, and steam 20, nominal horse-power. Consume yearly 2,500 tons of coal; the ashes from which are partly thrown into the river, and partly used for repairing roads. The excrements of our workpeople are used for manure. We have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
William Ackroyd & Company,Worsted Spinners,"West Gate, Otley","Our works are situated on the Wharf. Employ 650 hands. Rateable value of the works, 757l. The bed of the stream has not silted up. Our works are not affected by floods. There are dye bleach works on the tributary streams which pollute the river. Obtain supply of water from the river, but do not know the volume consumed yearly. Manufacture yearly 2,452,274 lbs. of goods, of the value of 145,000l. The whole of the liquid refuse, except soapsuds, produced at our works flows direct into the river. Do not use any dye wares or bleaching materials. Use yearly 22 tons of olive oil, of the value of 1,100l. Do not card wool. Use yearly about 207,000 lbs. of soap. Produce, yearly, 21,895,000 gallons of soapuds. These are treated for the recovery of the grease, but we are not able to state what we gain by the extraction. Use both steam and water as power; steam 115 and water 78 nominal horse-power. Consume yearly 2,000 tons of coal, the ashes from which are carted away to repair roads and footpaths. The excrements of our workpeople are used for manure. Have no suggestions to offer."
Duncan Barriclough And Company,Stuff Manufacturers,"West Gate, Otley","Our works are situated on the Wharf. Employ 120 hands. We are not able to give the rateable value of our works. The bed of the river has not silted up. Our works are not affected by floods. The river is not polluted by works above, nor by mines. Obtain a supply of water from the Wharf; but are not able to give the annual consumption at our works. If the river were rendered clear and colourless it would be of no direct money value to us. We manufacture yearly from 75 to 80 tons of goods, of the value of from 3,000l. to 4,000l. The whole of the waste liquid produced at our works flows direct into the river. We do not use either dye wares, bleaching materials, soap, alkali, or urine. Use steam as power; 15 and 20 horse-power. As we rent power from William Ackroyd & Co., we are not able to give the quantity of coal used, or to state what is done with the ashes. The excrements of the workpeople are collected in tanks and used for manure. We have no suggestions to offer as to the best means of avoiding pollution in future, or as to the conservancy of rivers and streams."
William Barker,Tanner,Otley,"My tanyard is situated on a small stream, a tributary of the Wharf. Employ 10 hands. Rateable value of tanyard, 661l. 12s. The bed of the stream has not silted up. My tanyard is not affected by floods. There is no perceptible difference in the condition of the stream within my knowledge. It is not polluted by works above, nor by mines. Obtain a supply of water from the stream, but do not know the annual consumption at my tanyard. I tan yearly 223 tons of English hides, and produce 98 tons of leather. Use yearly of lime 65 tons; of bark 22 tons, including 11 tons, gambier 100 tons; and piggins and fowl 200 bushels. Do not use any other materials. Obtain yearly 600 bushels of hair in the process of depilation, sold to plasterers, and 560 bushels of fatty matter in the process of fleshing, sold to glue makers. There are about 80 tons in my tanyard. Do not use any dye wares. The whole of the waste liquid produced in the tanyards flows direct into the sewers, and thence into the stream. Have no depositing tanks, and do not filter the waste liquid. Use steam, 4 nominal horse-power. Consume yearly 100 tons of coal, the ashes from which are used to repair roads. The excrements of my workpeople are used for manure. I suggest, as the best means of avoiding pollution in future, that all polluted liquid should be kept out of rivers and streams. I have no suggestions to offer as to the conservancy of rivers and streams."
William Lawson & Sons,Tanners,Otley,"Our tanyard is situated on a small stream, a tributary of the Wharfe. Employ 30 hands. Rateable value of tanyard, 128l. The bed of the stream has not silted up. The stream is not affected by floods. The stream is not polluted by works above, nor by mines. Obtain a supply of water from a small stream, and in summer from a well in addition thereto, but are not able to state the number of hides tanned yearly, or the quantity of leather produced. Use yearly, lime 50 tons, bark 60 tons, valonia 50 tons, gambir 80 tons, and also fowls' and dogs' dung. Obtain 15 tons of hair in the process of depilation, which is sold to plasterers; the fatty matter obtained in the process of fleshing is sold to size makers. There are 120 tanners of various sizes in our tanyard. We do not use any dye wares. The whole of the waste liquid from our tanyard flows into the sewers, and thence into the river. Use steam, 4 nominal horse-power. Consume yearly 150 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are used for manure. We have no suggestions to offer."
W Robinson & Company,Wollen Yarn Spinners and Weavers,"Sprint Mill, near Kendal","Our works are situated on the Sprint, a tributary of the Kent. Employ 10 hands. Do not know the rateable value of works. The bed of the stream has not silted up. Our works are not affected by floods. The stream is clean, and the water comparatively pure. It is not polluted by works above, nor by mines. Obtain supply of water from the stream. We do not finish our own goods, and therefore cannot state the weight and value of the goods manufactured or operated upon by us. We do not produce any liquid refuse in our manufactory. Do not use any dye wares or bleaching materials; use yearly four tons of Gallipoli oil. The waste wood produced in carding is used for manure. Use water only as power, eight nominal horse power. The excrements of our workpeople are used for manure. We suggest as the best means of avoiding pollution in future that all filth and polluting material should be kept out of rivers, but this is easier said than done."
Braithwaite & Company,Woollen Manufacturers,"Beck Mill, Kendal","Our works are situated on the Mint, a tributary of the river Kent. Employ 245 hands. Rateable value of works, 560l. The bed of the stream has not silted up. Our works are not affected by floods. The floods and also the small volume of water flowing down the stream are caused by the increased agricultural drainage of the upper portion of the watershed. The river is not polluted by works above, nor by mines. Obtain supply of water from the river, which is quite sufficiently pure for our purposes, but do not know the chemical composition of our works. Manufacture yearly 400,000 lbs. of goods, of the value of 50,000l. Produce yearly liquid refuse from washing 3,000,000 gallons, and from soapuds 2,000,000 gallons. The whole of the waste liquid produced, except soapuds, flows direct into the river. Do not use any dye wares or bleaching materials. Use yearly 20 tons of Price's and olive oil of the value of 1,200l. Do not produce any liquid refuse in our manufactory. Use yearly soap 8 tons, alkali 1 ton, and urine 400 gallons. The soapuds are treated for the recovery of grease, but as the process has only been in operation for a short time, we are unable to state the amount gained by it. Use both steam and water as power steam, 30 horse, and water 80 nominal horse power. Consume, yearly, coal 1,100 tons, and make about 90 tons of ashes, which are used for filling up hollow places, and repairing the roads. The excrements of our workpeople are regularly removed away from the premises by farmers, and used for manure. We would suggest as best means of avoiding pollution in future, to provide for a constant flow of water down the river channel; that a reservoir or reservoirs should be formed at the head of each main stream to impound the flood water. The cost of the land and works and the expense of maintenance should be defrayed by a rate on all landed property within the watershed, and also on all mill and other property on the banks of the streams. Riparian owners have benefited by their land being drained, and this is carried out to a very great extent in this neighbourhood, so much that the present volume of the water in the streams has greatly decreased, and in summer time there is scarcely any water in the stream. The millowners and manufacturers would also be greatly benefited by the construction of such reservoirs, as they would have an ample and constant supply of water furnished to their works."
Ireland & Edmondson,Woollen Manufacturers,"Kendal and Staveley Mills, near Kendal","Our works are situated on the Kent. Employ 85 hands. Rateable value of works, 300l. The bed of the stream has not silted up. Our works are not affected by floods. The river is not polluted by works above, nor by mines. Obtain supply of water from the river, but do not know the annual consumption at our works. We spin, card, and dye 6,240 stones of woollen yarn yearly. The whole of the waste liquid produced at our works flows directly into the stream. We use as dye wares dye-woods, indigo, spent grain, and aniline dyes. Do not use any bleaching materials. Use yearly five tons of oil of the value of 160l. The waste wood produced in carding is used for manure. Do not use soap or alkali, but an unknown quantity of lime. Use steam and water as power; steam 16 and water 16 nominal horse-power. Use yearly 450 tons of coal, the ashes from which are used to repair roads. The excrements of our workpeople are conveyed into the river. Have no suggestions to offer."
"Whitwell, Busher And Company",Worsted Spinners,"Beck Mill, Kendal","Our works are situated on the Mint, a tributary of the Kent. Employ 9 hands. Rateable value of works, 50l. Our works are not affected by floods. The river is broad and the fall good opposite our mill, and any temporary silting up of the bed is immediately washed away in flood time. The stream is only slightly polluted by the works of Messrs. Braithwaite situated above ours, and is not polluted by mines. Obtain our supply of water from the stream, and consume yearly about 25,000 gallons for heating the steam boiler, and for scouring the worsted. Manufacture yearly 20,000 lbs. of goods, of the value of 3,500l. The whole of the liquid refuse produced at our works flows direct into the mill race, and thence into the river. Do not use any dye wares or bleaching materials. Use yearly Gallipoli oil 10 gallons, and soap 3 cwt. Use water as power, 15 nominal horse-power. Use yearly about 9 tons of coal, the ashes from which are mixed with the excrements of our workpeople, which are carted away from the works. Have no suggestions to offer as to the conservancy of rivers and streams, but we believe that the subject is a very important one and deserves the best attention of all practically acquainted with it."
Whitwell & Company,Carpet Manufacturers,"Dockray Hall Mills, Kendal","Our works are situated on the river Kent. Employ 237 hands. Rateable value of works, 412l. The bed of the stream has silted up slightly, caused by weirs erected across the stream to supply water to the dye houses. Our works are affected to a small extent by floods.The river is generally clear opposite our works ; and probably more so since the river wall was built, which increases the velocity of the current. The river is slightly polluted by a paper mill and a woollen mill above, but before the water reaches our works it is comparatively clear, except in flood time; it is then turbid. The river is not polluted by mines. Obtain our supply of water principally from river, and a small quantity from the waterworks; and consume yearly in dyeing and for steam-engine purposes 1,588,000 gallons. We are unable to state the volume we use for washing. The water of the river is sufficiently clear for our business purposes. As the goods are woven at other works, not near the river, we only give the weight and approximate value of the yarn dyed and finished, which is as follows: linen 650 lbs., value 27l.; woollen 2,460 lbs., value 13,835l., worsted yarn 78,120 lbs., value 7,165l. We produce yearly liquid refuse from dyeing 560,000 gallons, and from spools 2,500 gallons. We have sometimes used depositing buckets, but not now. We do not filter the waste liquid, but it flows direct into the river. Use yearly as dye wares logwood, cochineal, and fustic. The dye stuffs are used for filling up hollow places on our land. We do not use any bleaching materials. Use yearly 16 tons of Price's and other oils of the value of 600l. We produce yearly about 30 tons of waste wool In the process of carding, which are sold to manure manufacturers. Use yearly, soap 8,178 lbs., and alkali 34,164 lbs. The soapsuds are not treated for the recovery of grease. Use both steam and water as power, steam 25, and water 40 nominal horse-power. Consume yearly 470 tons of coal; the ashes from which are used to repair roads for filling up hollow places. The excrements of our workplace are partially used for manure, and are partially thrown into the river. With the exception of the excrement of our workpeople we do not think that the refuse from our works pollutes the river. As manufacturing works do in the aggregate pollute rivers, we suppose that the best means of avoiding pollution in future would be that all solid matters should be kept out and the liquid refuse should be filtered before being passed in. Where there is a local board of health, we think that the entire conservancy of rivers and streams should be in their hands for all purposes; where no local board of health exists, the guardians of the unions (who have already charge and management of streets and dwelling houses) should in our opinion constitute the conservancy board."
"John, J. & William Wilson",Manufacturing,"Castle Mills, Kendal","Our works are situated on the river Kent. Employ 360 hands. Rateable value of works, 679l. The bed of the stream has silted up certain places, caused by d‚àö©bris brought down by floods. Our works are not affected by floods, as we rarely remove the silt and obstructions formed at the head of our mill race. There has been little change, if any, in the condition of the river within our knowledge. The river is polluted by works above, but not to a very considerable extent; it is not polluted by mines. Obtain supply of water chiefly from the river, and partially from the waterworks, but are not able to state the annual consumption at our works. The river is sufficiently clear for our purposes, and we do not think it could be improved. Manufacture yearly 450,000 lbs. of goods, of the value of 55,000l. Produce yearly liquid refuse from washing 12,000,000 gallons, dyeing 600,000 gallons, and from soapsuds 80,000 gallons. We have depositing tanks for the soapsuds. The other waste liquid flows direct into the river, but sewers are now in course of construction, and the liquid refuse from our works will be then intercepted and carried of the sewage to the town on to land below the town to be there utilized. Use yearly as dye wares, cochineal, logwood, chromate of potash, indigo, and aniline colours. The spent dye stuffs are burned. Do not use any bleaching materials. Use yearly 30 tons of Price's, coal and Gallipoli oil. Produce yearly 41 tons of waste in the process of carding, which are sold for manure. Use yearly, soap 65, soapsuds 1, ammonia 1Œ© tons, and urine 400 gallons. Use both steam and water as power steam 30 and water 30 nominal horse power. Consume yearly about 1,000 tons of coal, the ashes from which are carted away by the authorities of the town, to be used in repairing roads. The excrements of our work people are applied for manure, and partly turned into the river. We are of opinion that when the sewers, now in course of construction, are completed, the river will be practically clear. We are of opinion that all persons should be prevented from polluting streams, but at the same time we believe that any attempt to maintain a high state of purity in a manufacturing county will entirely fail, and destroy an immense source of wealth, the result of manufacturing industry."
